859/549 _1.56
262*506 _132572
427*498 _212646
266/357 _0.75
976/459 _2.13
764*405 _309420
671*845 _566995
436/340 _1.28
994+422 _1416
445*117 _52065
991/22 _45.05
307*742 _227794
565-99 _466
327-861 _-534
301*826 _248626
463+353 _816
7+553 _560
773-927 _-154
650/432 _1.5
325-158 _167
322/832 _0.39
139*825 _114675
853/334 _2.55
963-622 _341
561/202 _2.78
93+233 _326
505/27 _18.7
644/756 _0.85
758*333 _252414
840/232 _3.62
418/72 _5.81
743/989 _0.75
763-137 _626
509-199 _310
727*469 _340963
324-695 _-371
180-66 _114
379/26 _14.58
592*216 _127872
445*632 _281240
316/573 _0.55
142+126 _268
332/483 _0.69
121+858 _979
230*989 _227470
525+507 _1032
252-706 _-454
681+71 _752
831-534 _297
776*225 _174600
379+205 _584
970+990 _1960
261*193 _50373
133/769 _0.17
564*46 _25944
548/82 _6.68
451+718 _1169
706+190 _896
150*311 _46650
676*43 _29068
157*127 _19939
201+909 _1110
34+219 _253
876+383 _1259
586/377 _1.55
37-190 _-153
939+452 _1391
594+447 _1041
12/961 _0.01
43*934 _40162
225/927 _0.24
432/266 _1.62
657-166 _491
790+699 _1489
642/108 _5.94
276/210 _1.31
98-602 _-504
67*155 _10385
378+395 _773
471/77 _6.12
737*599 _441463
75/883 _0.08
443/405 _1.09
181+271 _452
223*768 _171264
949-760 _189
435*241 _104835
299*133 _39767
480*682 _327360
52*867 _45084
907/793 _1.14
649-961 _-312
414*346 _143244
109*990 _107910
910+416 _1326
565*467 _263855
900+793 _1693
892/635 _1.4
721/356 _2.03
910*150 _136500
475-169 _306
187-185 _2
723-637 _86
17+554 _571
55+648 _703
329*68 _22372
634*147 _93198
241-309 _-68
259/586 _0.44
762*278 _211836
509/919 _0.55
495-355 _140
918-891 _27
159-538 _-379
398*420 _167160
187*2 _374
760+475 _1235
22+3 _25
499*867 _432633
617+369 _986
814-293 _521
916-972 _-56
943/465 _2.03
713-165 _548
365+609 _974
465-505 _-40
684*763 _521892
460*336 _154560
537*779 _418323
107+592 _699
91/684 _0.13
970-725 _245
702+390 _1092
921-703 _218
240/250 _0.96
760*115 _87400
537-860 _-323
436*52 _22672
701*292 _204692
227/700 _0.32
150/496 _0.3
311-103 _208
588-799 _-211
221+540 _761
797*99 _78903
448+571 _1019
918-963 _-45
608-326 _282
981/809 _1.21
415+11 _426
867/34 _25.5
409-930 _-521
187-982 _-795
630-806 _-176
555*506 _280830
685/522 _1.31
187-482 _-295
564-798 _-234
101-936 _-835
703-452 _251
912+903 _1815
962/858 _1.12
1000/336 _2.98
86/402 _0.21
777-332 _445
110+673 _783
2-278 _-276
93*852 _79236
868*731 _634508
370/761 _0.49
692/958 _0.72
850+575 _1425
550+823 _1373
748+488 _1236
55*248 _13640
493*676 _333268
336-297 _39
42+952 _994
180*957 _172260
7-265 _-258
639+827 _1466
393*296 _116328
654+689 _1343
472-567 _-95
70*489 _34230
894+970 _1864
18*962 _17316
639/723 _0.88
955+595 _1550
939+402 _1341
922/517 _1.78
212-314 _-102
107*755 _80785
74*422 _31228
423+974 _1397
410*974 _399340
555+459 _1014
901/322 _2.8
147+822 _969
595+969 _1564
515-962 _-447
110/913 _0.12
143/648 _0.22
41/99 _0.41
45*548 _24660
571/776 _0.74
997*848 _845456
616-602 _14
350*523 _183050
328*506 _165968
273-413 _-140
950+986 _1936
147*478 _70266
204+248 _452
901+263 _1164
38-348 _-310
47/55 _0.85
681/232 _2.94
338/64 _5.28
887*886 _785882
285/305 _0.93
534+190 _724
255/187 _1.36
930+323 _1253
296/595 _0.5
37*570 _21090
893/478 _1.87
10/697 _0.01
242/419 _0.58
777*304 _236208
95/195 _0.49
557/360 _1.55
385/111 _3.47
441+922 _1363
417-193 _224
166+251 _417
809/255 _3.17
587/674 _0.87
905+165 _1070
472/945 _0.5
228+95 _323
98/378 _0.26
201+420 _621
806*926 _746356
486+356 _842
372*977 _363444
760/246 _3.09
648+60 _708
595-487 _108
191/738 _0.26
944*910 _859040
412-866 _-454
646-667 _-21
239*670 _160130
568-551 _17
315*26 _8190
841/599 _1.4
707-708 _-1
990+508 _1498
643*381 _244983
775*180 _139500
99-282 _-183
374/52 _7.19
468/891 _0.53
583-672 _-89
707*295 _208565
245*257 _62965
882+976 _1858
982/936 _1.05
359-42 _317
617*567 _349839
423/906 _0.47
509/468 _1.09
126-494 _-368
625/408 _1.53
101*6 _606
783*660 _516780
8-830 _-822
235-800 _-565
676-332 _344
145-782 _-637
739*365 _269735
451-704 _-253
841-417 _424
762+770 _1532
464+910 _1374
690-705 _-15
420-349 _71
400-831 _-431
69-464 _-395
734/315 _2.33
573-289 _284
201+393 _594
91-774 _-683
327*123 _40221
870/22 _39.55
548*570 _312360
706*790 _557740
722-955 _-233
357/619 _0.58
290-475 _-185
654/11 _59.45
968+862 _1830
377*800 _301600
587/154 _3.81
979*91 _89089
832+820 _1652
693+40 _733
289/202 _1.43
554/48 _11.54
532+15 _547
297-764 _-467
705*791 _557655
46-732 _-686
30+459 _489
757*606 _458742
476*999 _475524
28+681 _709
54+16 _70
523/511 _1.02
147-731 _-584
26-821 _-795
396*405 _160380
844-171 _673
742*591 _438522
31-870 _-839
769*552 _424488
172+104 _276
81/738 _0.11
202-896 _-694
523/340 _1.54
239*579 _138381
104*712 _74048
377/38 _9.92
668*321 _214428
325/107 _3.04
518*98 _50764
641*106 _67946
817+342 _1159
882/816 _1.08
411*827 _339897
922+500 _1422
555/919 _0.6
853+332 _1185
453+841 _1294
220*351 _77220
7+959 _966
176-890 _-714
709-316 _393
317-385 _-68
19-363 _-344
158-429 _-271
375*14 _5250
404-192 _212
319*253 _80707
327/252 _1.3
550/605 _0.91
94+118 _212
825+212 _1037
922*473 _436106
65*354 _23010
730*707 _516110
938*554 _519652
26+980 _1006
883-547 _336
708-419 _289
302/131 _2.31
280-415 _-135
770*425 _327250
736*178 _131008
308/178 _1.73
750+21 _771
547-518 _29
532+407 _939
825/230 _3.59
124-831 _-707
684-397 _287
910-557 _353
500-280 _220
668-569 _99
813-720 _93
28-249 _-221
65-345 _-280
3+230 _233
77*630 _48510
271+215 _486
637+237 _874
19/854 _0.02
937/468 _2.0
70*21 _1470
946-916 _30
392/237 _1.65
353+490 _843
71*403 _28613
67-323 _-256
329-354 _-25
379*297 _112563
745-725 _20
143+406 _549
516/334 _1.54
366-654 _-288
699*503 _351597
311-510 _-199
684/755 _0.91
664+92 _756
966*628 _606648
547-527 _20
111-756 _-645
229*817 _187093
216-237 _-21
365*931 _339815
142-230 _-88
430*231 _99330
211/813 _0.26
115/969 _0.12
825/337 _2.45
283/111 _2.55
699-760 _-61
854/891 _0.96
391*728 _284648
238/187 _1.27
232*67 _15544
690+232 _922
211-941 _-730
903*156 _140868
135*75 _10125
754+41 _795
60/164 _0.37
773*709 _548057
553-700 _-147
901/576 _1.56
929*766 _711614
196*393 _77028
969-472 _497
764/453 _1.69
692-289 _403
545*937 _510665
412+932 _1344
637+873 _1510
588/490 _1.2
900/673 _1.34
328/10 _32.8
406/572 _0.71
681/525 _1.3
764*163 _124532
919+897 _1816
255-745 _-490
965-248 _717
568-426 _142
621-322 _299
759/140 _5.42
152/813 _0.19
683/490 _1.39
879-27 _852
100/303 _0.33
178/753 _0.24
677+780 _1457
443*538 _238334
285*787 _224295
697+691 _1388
439/656 _0.67
131-735 _-604
695/598 _1.16
222/625 _0.36
610/964 _0.63
837+469 _1306
816/136 _6.0
579-806 _-227
104/432 _0.24
743-84 _659
352+667 _1019
931-973 _-42
232/486 _0.48
84*789 _66276
719+421 _1140
147/761 _0.19
465*704 _327360
674*80 _53920
722-380 _342
583*830 _483890
870*665 _578550
63-76 _-13
433+302 _735
409/390 _1.05
25*22 _550
233-228 _5
993-400 _593
673/571 _1.18
590-218 _372
735-803 _-68
772-36 _736
537*747 _401139
21+630 _651
407-826 _-419
674+537 _1211
235*197 _46295
694/99 _7.01
859+150 _1009
152-151 _1
586-309 _277
724*835 _604540
306/830 _0.37
844+55 _899
403-990 _-587
156+115 _271
50*250 _12500
223/574 _0.39
343/289 _1.19
513*112 _57456
444/707 _0.63
293*926 _271318
272*390 _106080
60-109 _-49
486/723 _0.67
308+738 _1046
509+327 _836
722/62 _11.65
327+163 _490
673+740 _1413
485/158 _3.07
592/300 _1.97
807-304 _503
889*466 _414274
23*407 _9361
479-5 _474
471/958 _0.49
593*724 _429332
901+603 _1504
162-427 _-265
491-108 _383
895/476 _1.88
585/846 _0.69
789*457 _360573
744/916 _0.81
30/833 _0.04
769-506 _263
585+667 _1252
792+995 _1787
128-962 _-834
706+591 _1297
855/712 _1.2
127/290 _0.44
569*345 _196305
661*80 _52880
697/170 _4.1
721*119 _85799
130+712 _842
319-261 _58
781/562 _1.39
724+910 _1634
455-71 _384
486*296 _143856
797-74 _723
92*997 _91724
772*276 _213072
497-631 _-134
195+496 _691
7*159 _1113
294+392 _686
573-2 _571
645+696 _1341
18*570 _10260
589*377 _222053
767/624 _1.23
381/66 _5.77
250*222 _55500
343-61 _282
748-310 _438
39*561 _21879
220*333 _73260
706/400 _1.76
127+200 _327
793+69 _862
623/689 _0.9
892*222 _198024
289-911 _-622
586*455 _266630
161/447 _0.36
997-263 _734
820*923 _756860
81*842 _68202
118*374 _44132
335*409 _137015
658*496 _326368
904+605 _1509
148*410 _60680
475/159 _2.99
795*475 _377625
825*542 _447150
940*675 _634500
893/174 _5.13
443-702 _-259
9+760 _769
486/614 _0.79
314+894 _1208
427-220 _207
665+246 _911
980/425 _2.31
728-188 _540
991-156 _835
741-925 _-184
665+548 _1213
386-192 _194
902*177 _159654
678*809 _548502
559-585 _-26
646-847 _-201
115*272 _31280
893+43 _936
60-464 _-404
1-231 _-230
591/982 _0.6
313+261 _574
80*704 _56320
253+349 _602
807*802 _647214
987-136 _851
351-902 _-551
900*574 _516600
385+81 _466
477-183 _294
670*444 _297480
611*162 _98982
210*105 _22050
512/773 _0.66
810+304 _1114
13-938 _-925
335*202 _67670
35-431 _-396
301+488 _789
62-796 _-734
908+626 _1534
805-281 _524
642+106 _748
333*917 _305361
524-588 _-64
263+784 _1047
620+453 _1073
999-565 _434
169-487 _-318
452*533 _240916
165-402 _-237
712+833 _1545
236/299 _0.79
204*258 _52632
54/362 _0.15
522-155 _367
834+55 _889
142+800 _942
461+387 _848
393+549 _942
605+593 _1198
467-630 _-163
613+636 _1249
551/160 _3.44
928/739 _1.26
761-437 _324
46-994 _-948
146/619 _0.24
68-818 _-750
27+773 _800
957-502 _455
539*201 _108339
957*697 _667029
608/304 _2.0
403-77 _326
526/507 _1.04
452-50 _402
45-570 _-525
948-165 _783
47/30 _1.57
352/5 _70.4
494*241 _119054
804-446 _358
701+122 _823
239/771 _0.31
640/309 _2.07
310+467 _777
595-274 _321
257*230 _59110
867-737 _130
150*704 _105600
229-269 _-40
811/507 _1.6
673+411 _1084
806-593 _213
152/740 _0.21
672+155 _827
604*972 _587088
195/21 _9.29
781+1000 _1781
909/256 _3.55
427/270 _1.58
999-759 _240
137*728 _99736
374+500 _874
836+9 _845
470-212 _258
680+822 _1502
251-344 _-93
489+3 _492
817/780 _1.05
677-669 _8
764*822 _628008
553+439 _992
33/744 _0.04
904*133 _120232
870/134 _6.49
15+306 _321
502*137 _68774
318-602 _-284
73/489 _0.15
898/671 _1.34
59+188 _247
237*149 _35313
768-290 _478
308/910 _0.34
609-914 _-305
330+296 _626
729/44 _16.57
85/761 _0.11
547/843 _0.65
202+500 _702
918*212 _194616
483/755 _0.64
296-63 _233
481-988 _-507
438+494 _932
307+236 _543
736+926 _1662
657/131 _5.02
947*793 _750971
215*213 _45795
236/557 _0.42
819/265 _3.09
756/690 _1.1
164-741 _-577
292/527 _0.55
455/210 _2.17
727*775 _563425
405-200 _205
355*241 _85555
615*284 _174660
452/780 _0.58
397*521 _206837
27*324 _8748
804*196 _157584
679-455 _224
371-579 _-208
408+39 _447
836*832 _695552
532/288 _1.85
778-858 _-80
291/460 _0.63
631-912 _-281
777/593 _1.31
172/866 _0.2
526-611 _-85
937/277 _3.38
873*426 _371898
243*306 _74358
641+774 _1415
125/957 _0.13
528-52 _476
383+842 _1225
818-674 _144
49*83 _4067
871+54 _925
511+929 _1440
24*366 _8784
144+375 _519
477+98 _575
915/796 _1.15
279/211 _1.32
292-407 _-115
993*333 _330669
92*517 _47564
916*887 _812492
959/93 _10.31
465-205 _260
203+473 _676
15-315 _-300
504*40 _20160
118/907 _0.13
78/651 _0.12
882*955 _842310
626*980 _613480
797+175 _972
697/315 _2.21
431-124 _307
413*999 _412587
605*104 _62920
64/378 _0.17
351/475 _0.74
266*163 _43358
331-934 _-603
603+749 _1352
900/920 _0.98
213*262 _55806
451+127 _578
859*740 _635660
966-688 _278
418-795 _-377
620-260 _360
328/822 _0.4
742-544 _198
628-340 _288
462+809 _1271
437-359 _78
139+273 _412
855*932 _796860
982*901 _884782
890-533 _357
303+334 _637
473*540 _255420
820-53 _767
839/794 _1.06
51*337 _17187
542*20 _10840
971+709 _1680
493*771 _380103
707-853 _-146
677+549 _1226
550*681 _374550
554-485 _69
866*641 _555106
276-262 _14
508+219 _727
227+770 _997
573*484 _277332
239-868 _-629
708+374 _1082
927+212 _1139
492/387 _1.27
157/662 _0.24
83-160 _-77
720/64 _11.25
340*630 _214200
952-164 _788
621-157 _464
372-737 _-365
599+374 _973
638*60 _38280
220-26 _194
298*747 _222606
366/820 _0.45
6/108 _0.06
79/814 _0.1
99-731 _-632
385*557 _214445
303/50 _6.06
136/951 _0.14
584/542 _1.08
806-30 _776
52/224 _0.23
963+746 _1709
392*593 _232456
622*815 _506930
14*864 _12096
108+923 _1031
113-768 _-655
822-125 _697
544+97 _641
688-269 _419
879+322 _1201
328-394 _-66
571+901 _1472
136/233 _0.58
959*554 _531286
961+80 _1041
567*971 _550557
696*937 _652152
693-640 _53
473*496 _234608
53/568 _0.09
24*45 _1080
915+439 _1354
179*358 _64082
948+53 _1001
421+61 _482
642/263 _2.44
239+647 _886
163-383 _-220
982-969 _13
225*333 _74925
824/533 _1.55
932/800 _1.17
819+447 _1266
824/68 _12.12
454/265 _1.71
741-185 _556
965/229 _4.21
82+770 _852
474*41 _19434
251*23 _5773
293-986 _-693
710/424 _1.67
707*669 _472983
9-583 _-574
615+491 _1106
494/38 _13.0
902+581 _1483
979+233 _1212
66-5 _61
216+617 _833
197*933 _183801
516+889 _1405
768+873 _1641
466*888 _413808
943/511 _1.85
396+7 _403
789+884 _1673
900*926 _833400
626-770 _-144
735-199 _536
64-709 _-645
962+379 _1341
605-516 _89
183-529 _-346
319*969 _309111
345/888 _0.39
713-138 _575
614*482 _295948
617*537 _331329
739*219 _161841
483/656 _0.74
860/841 _1.02
385+332 _717
620+12 _632
618/691 _0.89
307-466 _-159
235+561 _796
571+269 _840
865*74 _64010
107+2 _109
198/66 _3.0
76-360 _-284
107/478 _0.22
256*410 _104960
566-670 _-104
301-412 _-111
232*147 _34104
982-25 _957
3+818 _821
500/875 _0.57
61+645 _706
614-446 _168
449-530 _-81
517+726 _1243
480*597 _286560
948/996 _0.95
899*779 _700321
451+351 _802
15+748 _763
186-441 _-255
819*16 _13104
169*613 _103597
214+432 _646
27-780 _-753
668/877 _0.76
952+659 _1611
911/913 _1.0
847-268 _579
757/344 _2.2
342*916 _313272
530*829 _439370
726-236 _490
161-35 _126
844/202 _4.18
681*530 _360930
410/134 _3.06
96+617 _713
246*339 _83394
649-516 _133
537*800 _429600
352-947 _-595
141+640 _781
72/772 _0.09
151+87 _238
159+798 _957
186+873 _1059
891+193 _1084
532*937 _498484
97-418 _-321
344/148 _2.32
391/706 _0.55
499-525 _-26
81+272 _353
790*717 _566430
880*905 _796400
997/992 _1.01
81+497 _578
634-394 _240
674-119 _555
788*426 _335688
274/770 _0.36
392/114 _3.44
566/261 _2.17
654*718 _469572
730-700 _30
595-892 _-297
803-757 _46
75+622 _697
638-263 _375
981-988 _-7
905*435 _393675
948+356 _1304
377+431 _808
954-628 _326
58*235 _13630
172/246 _0.7
384/72 _5.33
693/319 _2.17
506/276 _1.83
836+809 _1645
230*315 _72450
580+250 _830
40/517 _0.08
814/379 _2.15
270-457 _-187
118*976 _115168
628/778 _0.81
287-172 _115
351*898 _315198
540+722 _1262
397+727 _1124
356*637 _226772
666*759 _505494
518-999 _-481
328+702 _1030
23*952 _21896
70+863 _933
334/686 _0.49
484/855 _0.57
967-305 _662
344/915 _0.38
119+588 _707
210-521 _-311
579-46 _533
94+895 _989
213-382 _-169
840*476 _399840
441+648 _1089
92+551 _643
638-678 _-40
45*343 _15435
119/206 _0.58
122-379 _-257
117/642 _0.18
373*429 _160017
360-977 _-617
560*662 _370720
995*929 _924355
929*418 _388322
528*5 _2640
807/114 _7.08
123/555 _0.22
147*109 _16023
634/515 _1.23
27/861 _0.03
589/216 _2.73
909-738 _171
826/220 _3.75
476+445 _921
780/55 _14.18
947+168 _1115
49/726 _0.07
403*155 _62465
793+784 _1577
551-431 _120
629/215 _2.93
19*373 _7087
998+742 _1740
769+481 _1250
448/608 _0.74
361/842 _0.43
298-879 _-581
120+150 _270
916-820 _96
699+728 _1427
974*463 _450962
489-547 _-58
525+290 _815
880+716 _1596
44*642 _28248
8/99 _0.08
535*65 _34775
371*350 _129850
656/850 _0.77
484*916 _443344
5/448 _0.01
591*427 _252357
653*66 _43098
896*877 _785792
419/910 _0.46
299/744 _0.4
239/778 _0.31
989+784 _1773
843*113 _95259
263/171 _1.54
123+711 _834
48+134 _182
311-747 _-436
80-457 _-377
306*654 _200124
442/58 _7.62
275/965 _0.28
563/709 _0.79
582/37 _15.73
98*834 _81732
950-814 _136
33+386 _419
74*488 _36112
511*491 _250901
772+45 _817
644-957 _-313
822/171 _4.81
536+455 _991
315*367 _115605
590+147 _737
726+728 _1454
933/394 _2.37
889/792 _1.12
328/473 _0.69
643+914 _1557
182+703 _885
623/915 _0.68
40/414 _0.1
769/129 _5.96
655+940 _1595
148/816 _0.18
76+578 _654
737/842 _0.88
828+177 _1005
771*355 _273705
325/488 _0.67
197-981 _-784
403*401 _161603
322+744 _1066
149*928 _138272
139-19 _120
973*241 _234493
680-550 _130
758+100 _858
908+87 _995
568/579 _0.98
185-423 _-238
127/883 _0.14
460+699 _1159
38*789 _29982
316*910 _287560
908-939 _-31
178+21 _199
686-505 _181
459/447 _1.03
80-127 _-47
253/786 _0.32
996*936 _932256
724+449 _1173
116/147 _0.79
379/103 _3.68
986-248 _738
704*726 _511104
695*505 _350975
22+215 _237
902+675 _1577
554*813 _450402
586-940 _-354
153+317 _470
768-735 _33
368/39 _9.44
714*445 _317730
536-635 _-99
59*580 _34220
20-511 _-491
897/237 _3.78
963/596 _1.62
378+112 _490
638-444 _194
122/969 _0.13
382+466 _848
329/8 _41.12
334*758 _253172
644+986 _1630
473/791 _0.6
992+133 _1125
306/17 _18.0
149*455 _67795
33*357 _11781
265+936 _1201
707+785 _1492
686*97 _66542
109*284 _30956
345-296 _49
373-865 _-492
145+81 _226
993-822 _171
70*378 _26460
661*979 _647119
123*85 _10455
678/402 _1.69
307-474 _-167
822*246 _202212
120+930 _1050
940/835 _1.13
547/510 _1.07
832+800 _1632
665*765 _508725
786/305 _2.58
856/877 _0.98
866/720 _1.2
370/838 _0.44
201*125 _25125
366*333 _121878
65*179 _11635
197*137 _26989
221*564 _124644
604/533 _1.13
74*579 _42846
946+146 _1092
375/631 _0.59
979-803 _176
898/605 _1.48
718+962 _1680
414-718 _-304
338-746 _-408
755*988 _745940
80*962 _76960
198*802 _158796
66/104 _0.63
861*237 _204057
313/742 _0.42
574+755 _1329
61*218 _13298
187*884 _165308
829+18 _847
206-723 _-517
270+772 _1042
801*213 _170613
768/284 _2.7
594-825 _-231
837/486 _1.72
370*973 _360010
533-503 _30
392+365 _757
140-413 _-273
606-254 _352
55/179 _0.31
317/326 _0.97
953*426 _405978
472+749 _1221
877*493 _432361
603+308 _911
851*399 _339549
119+459 _578
906-387 _519
289/1000 _0.29
264*345 _91080
442+968 _1410
943*959 _904337
68/624 _0.11
99/871 _0.11
249+597 _846
834/875 _0.95
973-352 _621
302*906 _273612
124*857 _106268
950+195 _1145
692-894 _-202
497-217 _280
801-582 _219
45+899 _944
176*190 _33440
605*385 _232925
116+481 _597
423+857 _1280
607/828 _0.73
564-501 _63
412*848 _349376
733*306 _224298
974-925 _49
33+674 _707
83+680 _763
781-12 _769
731-287 _444
550-549 _1
679-609 _70
85/978 _0.09
885-291 _594
158-118 _40
802+869 _1671
599/489 _1.22
479/220 _2.18
30-766 _-736
335-380 _-45
605-308 _297
677/726 _0.93
146-449 _-303
847/12 _70.58
836+710 _1546
695*112 _77840
202/499 _0.4
807+209 _1016
77-995 _-918
673+342 _1015
671-998 _-327
989/89 _11.11
256/362 _0.71
990-473 _517
953-402 _551
723-522 _201
46*259 _11914
352-811 _-459
639*904 _577656
686/260 _2.64
686-424 _262
816-855 _-39
275/8 _34.38
921/142 _6.49
781+619 _1400
233+116 _349
160/323 _0.5
563*195 _109785
355*735 _260925
55/503 _0.11
893/898 _0.99
450+518 _968
613*460 _281980
104+647 _751
489*50 _24450
625/536 _1.17
53/509 _0.1
276*718 _198168
28/130 _0.22
481/262 _1.84
249+363 _612
870/137 _6.35
767/980 _0.78
509-510 _-1
198+317 _515
55*282 _15510
525+62 _587
174*168 _29232
19+894 _913
368-48 _320
900*284 _255600
945-793 _152
253-829 _-576
208-765 _-557
888*957 _849816
154-353 _-199
237/614 _0.39
473-13 _460
146*50 _7300
334+974 _1308
233/955 _0.24
368/115 _3.2
454/83 _5.47
878*403 _353834
923+609 _1532
412/327 _1.26
869*633 _550077
540+682 _1222
590-286 _304
576+25 _601
174*727 _126498
47+16 _63
954/922 _1.03
116+540 _656
794-116 _678
73-791 _-718
31/298 _0.1
894-898 _-4
390*355 _138450
883/183 _4.83
201/348 _0.58
434/14 _31.0
710/814 _0.87
402+837 _1239
220*72 _15840
449*901 _404549
461*543 _250323
9*430 _3870
358+838 _1196
579/258 _2.24
661/587 _1.13
812*132 _107184
852*680 _579360
710*588 _417480
901/574 _1.57
556+734 _1290
985-70 _915
718*691 _496138
844/230 _3.67
429+118 _547
18*806 _14508
145/60 _2.42
551-737 _-186
40+745 _785
543+13 _556
911*933 _849963
470*775 _364250
996+40 _1036
768/457 _1.68
648*225 _145800
973/224 _4.34
857-649 _208
238*56 _13328
638*42 _26796
455-99 _356
751-474 _277
152*531 _80712
477-577 _-100
789*398 _314022
962*771 _741702
15-865 _-850
816/545 _1.5
193*455 _87815
424*396 _167904
358*4 _1432
487-746 _-259
12*37 _444
324*13 _4212
978/187 _5.23
260-581 _-321
50+267 _317
25-972 _-947
967/497 _1.95
200/932 _0.21
706+882 _1588
908*617 _560236
866+300 _1166
879/950 _0.93
363-643 _-280
155-341 _-186
860*671 _577060
304*356 _108224
971+755 _1726
336/308 _1.09
577-265 _312
333+721 _1054
136/862 _0.16
425+878 _1303
297+861 _1158
242/360 _0.67
857*473 _405361
323/180 _1.79
713*59 _42067
998+229 _1227
497-593 _-96
293-786 _-493
334*52 _17368
579*272 _157488
671*111 _74481
156-935 _-779
823-365 _458
578/279 _2.07
21/451 _0.05
261+672 _933
954*903 _861462
881/862 _1.02
286+750 _1036
860+724 _1584
394/351 _1.12
54-168 _-114
744/528 _1.41
215/695 _0.31
283-650 _-367
27+623 _650
394/730 _0.54
573-435 _138
687/19 _36.16
815*679 _553385
778-439 _339
57*799 _45543
494-713 _-219
810/140 _5.79
368*628 _231104
713/82 _8.7
811-97 _714
832-714 _118
349-925 _-576
14*15 _210
778/787 _0.99
66-772 _-706
800+418 _1218
757+910 _1667
542/773 _0.7
923/144 _6.41
2+949 _951
114*562 _64068
129/968 _0.13
199-159 _40
882+598 _1480
977-15 _962
140+167 _307
246+766 _1012
83*890 _73870
620*280 _173600
221*326 _72046
140/770 _0.18
665-525 _140
867+202 _1069
874-202 _672
936+510 _1446
494-956 _-462
660/853 _0.77
320+501 _821
231+213 _444
600*144 _86400
287/404 _0.71
663+781 _1444
924-845 _79
342*713 _243846
642/714 _0.9
34+242 _276
562-694 _-132
69*84 _5796
191*663 _126633
293*791 _231763
600*878 _526800
847+799 _1646
624+343 _967
161+987 _1148
627+464 _1091
562-792 _-230
826-882 _-56
81+339 _420
949+357 _1306
127/65 _1.95
787/418 _1.88
292-44 _248
87/379 _0.23
213/322 _0.66
444-44 _400
5-875 _-870
821-252 _569
977-67 _910
838-796 _42
194+484 _678
884+104 _988
936-753 _183
857/504 _1.7
252/564 _0.45
608*946 _575168
301*805 _242305
82*444 _36408
287-499 _-212
4/937 _0.0
240/643 _0.37
385/532 _0.72
705-285 _420
626-338 _288
554+620 _1174
887/75 _11.83
853/174 _4.9
145-408 _-263
114-265 _-151
334/856 _0.39
611+761 _1372
790+959 _1749
738-728 _10
184+524 _708
451-149 _302
969-827 _142
146+546 _692
816/443 _1.84
486-748 _-262
896*948 _849408
346/528 _0.66
242+113 _355
810/552 _1.47
219/195 _1.12
549+31 _580
516-470 _46
11/537 _0.02
927+734 _1661
368*366 _134688
214*213 _45582
274-228 _46
458-820 _-362
646/691 _0.93
98-228 _-130
225+795 _1020
845/919 _0.92
478+788 _1266
395-168 _227
736-598 _138
561+47 _608
933-674 _259
336+131 _467
27-395 _-368
263-248 _15
7+292 _299
610*641 _391010
696/46 _15.13
477-746 _-269
424+970 _1394
742/297 _2.5
604-263 _341
517+974 _1491
447-933 _-486
25-402 _-377
34/155 _0.22
376*965 _362840
282+699 _981
283+936 _1219
445+58 _503
544*569 _309536
576+305 _881
354-195 _159
153/430 _0.36
389+458 _847
279+731 _1010
134*443 _59362
512-695 _-183
560/658 _0.85
841+297 _1138
440-374 _66
582/518 _1.12
457-58 _399
469/21 _22.33
699-44 _655
604+897 _1501
46*55 _2530
93+556 _649
165/630 _0.26
673-150 _523
799+20 _819
182-802 _-620
286/530 _0.54
849*528 _448272
598*946 _565708
617-647 _-30
467-333 _134
592*2 _1184
126*92 _11592
519+96 _615
913-559 _354
271-687 _-416
680*582 _395760
4/482 _0.01
443-738 _-295
974-232 _742
554-971 _-417
439*554 _243206
433-2 _431
285+890 _1175
7-64 _-57
927+252 _1179
120/775 _0.15
807+422 _1229
350-627 _-277
115-657 _-542
417*35 _14595
276/297 _0.93
882*962 _848484
712/860 _0.83
827*21 _17367
910/74 _12.3
907+498 _1405
157-244 _-87
519+478 _997
700*835 _584500
80+716 _796
800*565 _452000
45/421 _0.11
391-618 _-227
903*873 _788319
559*939 _524901
570-182 _388
785*327 _256695
27-673 _-646
966/731 _1.32
438/867 _0.51
990/192 _5.16
537*83 _44571
169-239 _-70
252/516 _0.49
104+125 _229
496/645 _0.77
15+267 _282
106*212 _22472
623/446 _1.4
827*754 _623558
46+294 _340
989+670 _1659
843/465 _1.81
395-314 _81
826+721 _1547
943+220 _1163
240-367 _-127
687*302 _207474
126/950 _0.13
413*23 _9499
922-809 _113
556*12 _6672
790/683 _1.16
874*230 _201020
396/892 _0.44
133/64 _2.08
464/801 _0.58
478/256 _1.87
319+65 _384
16/412 _0.04
841-363 _478
149+147 _296
49+170 _219
852-911 _-59
911*920 _838120
714+66 _780
14*225 _3150
365+170 _535
631/859 _0.73
262/692 _0.38
978*949 _928122
431*452 _194812
818/565 _1.45
823-761 _62
156*13 _2028
392+727 _1119
664/175 _3.79
937/387 _2.42
470+697 _1167
983-61 _922
69/173 _0.4
224/349 _0.64
924+879 _1803
754-828 _-74
557/611 _0.91
511+322 _833
971-28 _943
774*978 _756972
700/42 _16.67
635-635 _0
696+434 _1130
297-880 _-583
232-848 _-616
520*16 _8320
694/946 _0.73
861+247 _1108
875-259 _616
505+406 _911
343*361 _123823
231*757 _174867
327-198 _129
563-741 _-178
